id_evento,fecha_evento,anio,nombre_evento,categoria,ambito,mecanismo_dominante,descripcion,partidos_afectados,impacto_probable,explicacion_impacto,relevancia_1_5,confianza_analitica,fuentes
ESP-058,2024-03-14,2024,La amnistía supera su trámite decisivo en el Congreso,Justicia/territorial,Nacional,territorial,Junts retiró su veto al nuevo texto y la ley de amnistía superó el principal escollo parlamentario antes del Senado.,"PSOE, Sumar, Junts, ERC, PP, Vox",PSOE (+); Sumar (+); Junts/ERC (+); PP/Vox (+),"La aprobación acercó la estabilidad legislativa del Gobierno, pero mantuvo viva una fuente de movilización muy intensa para la oposición.",4,Alta,https://www.reuters.com/site-search/?query=Spain+amnesty+law+passes+Congress+March+2024 | https://www.congreso.es/ | https://www.lamoncloa.gob.es/
ESP-059,2024-04-21,2024,Elecciones vascas: empate PNV-Bildu y PSOE decisivo,Elecciones/resultados,Autonómico con spillover nacional,competencia centro-periferia,PNV y EH Bildu quedaron muy igualados en escaños y el PSE-EE volvió a ser clave para la formación de gobierno.,"PSOE, PNV, EH Bildu, PP, Vox",PSOE (+); EH Bildu (+); PNV (+/mixto); PP/Vox (-),El resultado reforzó la centralidad negociadora del PSOE y confirmó el crecimiento sostenido de Bildu como actor con influencia nacional.,4,Alta,https://www.reuters.com/site-search/?query=Basque+election+April+2024+PNV+Bildu+PSOE | https://www.euskadi.eus/elecciones-parlamento-vasco/ | https://www.infoelectoral.interior.gob.es/
ESP-060,2024-04-24,2024,Un juez abre causa sobre Begoña Gómez y Sánchez suspende agenda para reflexionar,Corrupción/escándalo,Nacional,liderazgo y credibilidad,La apertura de diligencias sobre la esposa del presidente llevó a Sánchez a apartarse unos días de la agenda pública para decidir si continuaba.,"PSOE, PP, Vox, Sumar",PSOE (-); PP (+); Vox (+); Sumar (+/mixto),"El episodio combinó sospecha ética, dramatización institucional y máxima exposición mediática. Dañó al PSOE, aunque también ofreció una posible oportunidad de movilización defensiva del bloque progresista.",5,Alta,https://www.reuters.com/world/europe/spain-pm-sanchez-says-he-is-suspending-public-duties-reflect-future-2024-04-24/ | https://www.poderjudicial.es/ | https://www.lamoncloa.gob.es/
ESP-061,2024-04-29,2024,Sánchez decide seguir al frente del Gobierno,Liderazgo partidario,Nacional,movilización ideológica,"Tras cinco días de incertidumbre, Sánchez anunció que continuaba como presidente y denunció una estrategia de acoso político y mediático.","PSOE, PP, Vox, Sumar",PSOE (+); Sumar (+); PP (-); Vox (-),"La decisión permitió al PSOE recentrar a su electorado, convertir la continuidad en una apelación emocional y reconstruir la cohesión del bloque progresista a corto plazo.",4,Media,https://www.reuters.com/site-search/?query=Sanchez+decides+to+stay+April+2024+Spain | https://www.lamoncloa.gob.es/ | https://www.psoe.es/
ESP-062,2024-05-12,2024,Cataluña: gana el PSC y el independentismo pierde la mayoría simbólica,Elecciones/resultados,Autonómico con spillover nacional,territorial,El PSC fue la fuerza más votada en Cataluña y el bloque independentista perdió empuje tras años de hegemonía.,"PSC-PSOE, Junts, ERC, PP, Comuns-Sumar",PSC-PSOE (++); Junts (-); ERC (-); PP (+); Comuns-Sumar (mixto),La victoria del PSC validó la estrategia de desinflamación territorial de Sánchez y debilitó a los actores independentistas más necesarios para la confrontación.,5,Alta,https://www.reuters.com/site-search/?query=Catalonia+election+May+2024+PSC+wins | https://resultats.eleccionsparlament.cat/ | https://www.infoelectoral.interior.gob.es/
ESP-063,2024-05-30,2024,Aprobación definitiva de la ley de amnistía,Justicia/territorial,Nacional,territorial,El Congreso aprobó definitivamente la ley de amnistía para los implicados en el procés tras superar el veto del Senado.,"PSOE, Sumar, Junts, ERC, PP, Vox",PSOE (+); Sumar (+); Junts/ERC (+); PP/Vox (+),"Convirtió una promesa de investidura en realidad institucional. Reforzó la relación del Gobierno con Junts y ERC, pero mantuvo vivo el coste de polarización.",5,Alta,https://www.reuters.com/site-search/?query=Spain+parliament+final+approval+amnesty+law+May+2024 | https://www.congreso.es/ | https://www.boe.es/
ESP-064,2024-06-09,2024,"Elecciones europeas: el PP gana por poco, Vox sube y la izquierda se fragmenta",Elecciones/resultados,Nacional,competencia intrabloque,"El PP quedó por delante del PSOE, Vox mejoró y Sumar y Podemos compitieron por separado con rendimientos modestos.","PP, PSOE, Vox, Sumar, Podemos",PP (+); Vox (+); PSOE (-); Sumar (-); Podemos (-),"El resultado confirmó un mejor tono del PP y de Vox, mientras la fragmentación a la izquierda del PSOE siguió siendo un problema de rendimiento electoral.",4,Alta,https://www.reuters.com/site-search/?query=European+election+Spain+June+2024+PP+Vox+Sumar+Podemos | https://results.elections.europa.eu/ | https://www.infoelectoral.interior.gob.es/
ESP-065,2024-07-11,2024,Vox rompe cinco gobiernos autonómicos con el PP por la cuestión migratoria,Pactos/coaliciones,Autonómico con spillover nacional,competencia intrabloque derecha,Vox abandonó varios ejecutivos autonómicos compartidos con el PP por desacuerdos sobre el reparto de menores migrantes.,"PP, Vox, PSOE, Sumar",Vox (+/mixto); PP (-/mixto); PSOE (+); Sumar (+),"La ruptura permitió a Vox reafirmar un perfil duro en inmigración, pero le hizo perder poder ejecutivo. Para el PP fue un recordatorio del coste de gobernar con un socio volátil.",4,Alta,https://www.reuters.com/site-search/?query=Vox+quits+regional+governments+PP+migration+July+2024+Spain | https://www.pp.es/ | https://www.voxespaña.es/
ESP-066,2024-08-08,2024,Salvador Illa es investido y termina una década de gobiernos independentistas en Cataluña,Pactos/coaliciones,Autonómico con spillover nacional,territorial,"Con apoyo de ERC y los comunes, Salvador Illa fue investido presidente de la Generalitat, relegando a Junts a la oposición.","PSC-PSOE, ERC, Junts, Comuns-Sumar, PP, Vox",PSC-PSOE (++); ERC (mixto); Junts (-); Comuns-Sumar (+); PP/Vox (mixto),"Illa convirtió la victoria electoral del PSC en poder institucional y validó la estrategia de normalización del PSOE, aunque a costa de nuevas tensiones en la financiación catalana y con sus socios.",5,Alta,https://www.reuters.com/site-search/?query=Illa+invested+Catalonia+August+2024+Spain | https://www.parlament.cat/ | https://www.gencat.cat/
ESP-067,2024-10-29,2024,DANA de Valencia y crisis de gestión de Mazón,Gestión de crisis,Autonómico con spillover nacional,gestión de crisis,"Las inundaciones devastadoras en la Comunidad Valenciana abrieron un debate nacional sobre prevención, coordinación y respuesta institucional.","PP, PSOE, Vox, Compromís-Sumar",PP (-); PSOE (+/mixto); Vox (mixto); Compromís-Sumar (+),"Las crisis de protección civil de gran impacto suelen evaluar competencia y empatía. Al estar el PP al mando de la Generalitat valenciana, el coste principal recayó sobre ese partido.",5,Alta,https://www.reuters.com/site-search/?query=Valencia+floods+October+2024+Maz%C3%B3n+Spain | https://www.gva.es/ | https://www.reuters.com/world/europe/thousands-protest-over-handling-spanish-flood-disaster-2024-11-09/
ESP-068,2024-11-09,2024,Protesta masiva contra Mazón por la gestión de la DANA,Movilización/polarización,Autonómico con spillover nacional,gestión de crisis,Miles de personas salieron a la calle en Valencia para protestar por la gestión de las inundaciones y pedir responsabilidades políticas.,"PP, PSOE, Vox, Compromís-Sumar",PP (-); PSOE (+); Compromís-Sumar (+); Vox (-/mixto),La protesta convirtió la gestión de la DANA en un símbolo de incompetencia gubernamental y mantuvo la crisis viva más allá de la fase inicial.,4,Alta,https://www.reuters.com/world/europe/thousands-protest-over-handling-spanish-flood-disaster-2024-11-09/ | https://www.gva.es/ | https://www.ppcv.com/
ESP-069,2024-12-18,2024,Begoña Gómez declara y niega los cargos,Corrupción/escándalo,Nacional,liderazgo y credibilidad,La comparecencia judicial de Begoña Gómez mantuvo el caso en la agenda mediática meses después de su apertura.,"PSOE, PP, Vox, Sumar",PSOE (mixto-negativo); PP (+); Vox (+); Sumar (mixto),"Aunque una declaración puede no cambiar hechos, sí prolonga el ciclo de noticias adversas y el desgaste reputacional del entorno presidencial.",3,Media,https://www.reuters.com/site-search/?query=Begona+Gomez+testifies+December+2024+Spain | https://www.poderjudicial.es/ | https://www.lamoncloa.gob.es/
ESP-070,2025-01-22,2025,Derrota parlamentaria del Gobierno en decretos económicos y energéticos,Institucional/gobernabilidad,Nacional,gobernabilidad,La mayoría que sostenía al Gobierno se fracturó y varios decretos clave no lograron salir adelante en el Congreso.,"PSOE, Sumar, PP, Vox, Junts, Podemos",PSOE (-); Sumar (-); PP (+); Vox (+); Junts/Podemos (+),Las derrotas legislativas visibles afectan a la percepción de control y eficacia del gobierno y elevan el precio político de los socios bisagra.,4,Alta,https://www.reuters.com/site-search/?query=Spain+government+loses+parliamentary+vote+decrees+January+2025 | https://www.congreso.es/ | https://www.lamoncloa.gob.es/
ESP-071,2025-04-28,2025,Gran apagón ibérico,Gestión de crisis,Nacional,gestión de crisis,Un gran apagón afectó a España y Portugal y abrió una investigación política y regulatoria sobre las causas y la respuesta institucional.,"PSOE, Sumar, PP, Vox",PSOE/Sumar (-); PP (+); Vox (+),"Los fallos sistémicos de infraestructuras tienden a convertirse en referendos sobre competencia gubernamental, incluso cuando las causas técnicas tardan en aclararse.",5,Alta,https://www.reuters.com/site-search/?query=Iberian+blackout+Spain+April+2025 | https://www.miteco.gob.es/ | https://www.redeia.com/
ESP-072,2025-06-09,2025,El Fiscal General queda abocado a juicio por la filtración del caso del novio de Ayuso,Justicia/territorial,Nacional,liderazgo y credibilidad,La causa contra el fiscal general del Estado por una presunta filtración agravó la batalla política sobre el uso partidista de las instituciones.,"PSOE, PP, Vox, Sumar",PSOE (-); PP (+); Vox (+); Sumar (mixto),La posible judicialización del máximo responsable del Ministerio Fiscal erosiona credibilidad institucional y favorece el marco opositor sobre deterioro del Estado de derecho.,5,Alta,https://www.reuters.com/site-search/?query=Spain+attorney+general+to+stand+trial+leak+Ayuso+boyfriend+June+2025 | https://www.fiscal.es/ | https://www.poderjudicial.es/
ESP-073,2025-06-12,2025,Dimite Santos Cerdán y estalla la mayor crisis de corrupción del PSOE en la legislatura,Corrupción/escándalo,Nacional,corrupción/valence,La dimisión del número tres del PSOE por una causa de presuntas mordidas en obra pública abrió una crisis existencial para el partido y el Gobierno.,"PSOE, PP, Vox, Sumar",PSOE (--); PP (+); Vox (+); Sumar (+/mixto),"Cuando un escándalo de corrupción alcanza la cúspide orgánica del partido de gobierno, el daño potencial sobre voto y movilización es muy elevado y prolongado.",5,Alta,https://www.reuters.com/world/spanish-judge-calls-top-sanchez-ally-testify-over-alleged-public-works-kickbacks-2025-06-12/ | https://www.psoe.es/ | https://www.poderjudicial.es/
ESP-074,2025-06-26,2025,El Tribunal Constitucional avala la ley de amnistía,Justicia/territorial,Nacional,territorial,El Constitucional validó el núcleo de la amnistía y reforzó jurídicamente el principal pacto de investidura del Gobierno.,"PSOE, Sumar, Junts, ERC, PP, Vox",PSOE (+); Sumar (+); Junts/ERC (+); PP/Vox (-/mixto),"La validación redujo el riesgo jurídico del acuerdo con los independentistas y permitió al Gobierno defender la amnistía como solución constitucional, aunque la oposición mantuvo el conflicto político.",4,Alta,https://www.reuters.com/site-search/?query=Spain+constitutional+court+upholds+amnesty+June+2025 | https://www.tribunalconstitucional.es/ | https://www.congreso.es/
ESP-075,2025-06-30,2025,Prisión provisional para Santos Cerdán,Corrupción/escándalo,Nacional,corrupción/valence,El ingreso en prisión provisional de Cerdán elevó de nuevo el coste político del caso y prolongó su impacto mediático.,"PSOE, PP, Vox, Sumar",PSOE (--); PP (+); Vox (+); Sumar (+/mixto),La prisión provisional es un umbral de máxima gravedad simbólica. Reaviva el ciclo de noticias y hace más difícil contener el daño reputacional para el partido afectado.,5,Alta,https://www.reuters.com/site-search/?query=Santos+Cerdan+remanded+in+custody+June+2025+Spain | https://www.poderjudicial.es/ | https://www.psoe.es/
ESP-076,2025-09-11,2025,"La jornada de 37,5 horas se encalla en el Congreso",Institucional/gobernabilidad,Nacional,gobernabilidad,"La reducción de jornada, una bandera de Sumar, quedó bloqueada por falta de apoyos suficientes en el Parlamento.","Sumar, PSOE, PP, Vox, Junts, PNV",Sumar (-); PSOE (-); PP (+); Vox (+); Junts/PNV (+),El atasco perjudicó especialmente a Sumar por ownership del tema y reforzó la imagen de fragilidad de la mayoría progresista para sacar adelante reformas laborales emblemáticas.,4,Alta,https://www.reuters.com/site-search/?query=Spain+37.5+hour+workweek+stalls+Congress+September+2025 | https://www.congreso.es/ | https://www.mites.gob.es/
ESP-077,2025-09-23,2025,El hermano de Sánchez irá a juicio,Corrupción/escándalo,Nacional,liderazgo y credibilidad,"La decisión judicial sobre el hermano del presidente alimentó el marco opositor de privilegios, nepotismo y deterioro ético del entorno presidencial.","PSOE, PP, Vox",PSOE (-); PP (+); Vox (+),"Aunque no implica al Gobierno como tal, los casos del círculo familiar del presidente tienden a erosionar su imagen personal y a contaminar la marca del partido.",4,Alta,https://www.reuters.com/site-search/?query=Sanchez+brother+to+stand+trial+September+2025+Spain | https://www.poderjudicial.es/ | https://www.lamoncloa.gob.es/
ESP-078,2025-10-25,2025,Protesta por el aniversario de la DANA valenciana,Movilización/polarización,Autonómico con spillover nacional,gestión de crisis,La movilización al cumplirse un año de la tragedia mantuvo viva la crisis política sobre la gestión de las inundaciones.,"PP, PSOE, Vox, Compromís-Sumar",PP (-); PSOE (+); Compromís-Sumar (+); Vox (-/mixto),La persistencia del tema impidió al PP cerrar el episodio y mantuvo un foco de atribución de culpa en torno a la competencia de gobierno.,4,Alta,https://www.reuters.com/site-search/?query=Valencia+floods+anniversary+protest+October+2025+Spain | https://www.gva.es/ | https://www.ppcv.com/
ESP-079,2025-11-03,2025,Carlos Mazón dimite por la gestión de las inundaciones,Liderazgo partidario,Autonómico con spillover nacional,gestión de crisis,La dimisión del presidente valenciano convirtió la crisis de la DANA en una admisión política de responsabilidad de primer nivel.,"PP, PSOE, Vox, Compromís-Sumar",PP (-); PSOE (+); Compromís-Sumar (+); Vox (-),La renuncia tiende a confirmar ante la opinión pública que el coste de gestión fue alto y que la oposición tenía un argumento fuerte sobre incompetencia.,5,Alta,https://www.reuters.com/site-search/?query=Mazon+resigns+November+2025+Valencia+floods | https://www.gva.es/ | https://www.pp.es/
ESP-080,2025-11-20,2025,García Ortiz es condenado e inhabilitado dos años,Justicia/territorial,Nacional,liderazgo y credibilidad,"La condena e inhabilitación del fiscal general agravó el choque institucional entre Gobierno, oposición y poder judicial.","PSOE, PP, Vox, Sumar",PSOE (--); PP (+); Vox (+); Sumar (-/mixto),La condena de una figura institucional ligada al Gobierno refuerza un marco de deterioro institucional que suele perjudicar al incumbente.,5,Alta,https://www.reuters.com/site-search/?query=Garcia+Ortiz+convicted+disqualified+November+2025+Spain | https://www.fiscal.es/ | https://www.poderjudicial.es/
ESP-081,2025-11-27,2025,El Congreso rechaza el plan de gasto para 2026,Institucional/gobernabilidad,Nacional,gobernabilidad,La cámara tumbó un paso clave de la planificación presupuestaria y volvió a evidenciar la debilidad aritmética del Ejecutivo.,"PSOE, Sumar, PP, Vox, Junts, Podemos, PNV",PSOE (-); Sumar (-); PP (+); Vox (+); Junts/Podemos/PNV (+),Otro tropiezo de gestión parlamentaria alimenta la expectativa de inestabilidad y reduce la percepción de capacidad del Gobierno para cerrar una legislatura ordenada.,4,Alta,https://www.reuters.com/site-search/?query=Spain+spending+plan+rejected+November+2025+congress | https://www.congreso.es/ | https://www.lamoncloa.gob.es/
ESP-082,2025-12-12,2025,Backlash por la gestión de denuncias de acoso sexual en el PSOE,Corrupción/escándalo,Nacional,liderazgo y credibilidad,La reacción pública ante denuncias de acoso sexual y la forma de gestionarlas golpeó la credibilidad del PSOE en un terreno especialmente sensible para la izquierda.,"PSOE, Sumar, Podemos, PP, Vox",PSOE (-); Sumar (+/mixto); Podemos (+/mixto); PP/Vox (mixto),Los costes reputacionales son altos cuando un partido percibido como abanderado de agendas feministas parece incoherente en sus protocolos o respuestas internas.,4,Alta,https://www.reuters.com/site-search/?query=PSOE+sexual+harassment+complaints+backlash+December+2025+Spain | https://www.psoe.es/ | https://www.igualdad.gob.es/
ESP-083,2025-12-22,2025,Extremadura gira a la derecha y Vox dobla escaños,Elecciones/resultados,Autonómico con spillover nacional,competencia intrabloque derecha,La elección extremeña dejó un crecimiento fuerte de Vox y un bloque de derechas más robusto frente al PSOE.,"PP, Vox, PSOE",Vox (++); PP (+); PSOE (-),El resultado fue leído como señal de que la derecha podía seguir creciendo en territorios menos favorables y de que Vox recuperaba pulso electoral.,5,Alta,https://www.reuters.com/site-search/?query=Extremadura+election+Vox+doubles+seats+December+2025+Spain | https://www.infoelectoral.interior.gob.es/ | https://www.asambleaex.es/
ESP-084,2026-02-08,2026,Aragón: Vox dobla escaños y fuerza mayor dependencia del PP,Elecciones/resultados,Autonómico con spillover nacional,competencia intrabloque derecha,El resultado en Aragón reforzó a Vox dentro del bloque de derechas y aumentó la dependencia potencial del PP respecto a ese socio.,"PP, Vox, PSOE",Vox (++); PP (mixto); PSOE (-),El crecimiento de Vox mejora su capacidad negociadora y complica al PP la gestión del equilibrio entre voto útil y moderación ante futuros pactos.,5,Alta,https://www.reuters.com/site-search/?query=Aragon+election+Vox+doubles+seats+February+2026+Spain | https://www.infoelectoral.interior.gob.es/ | https://www.cortesaragon.es/
ESP-085,2026-04-14,2026,La regularización extraordinaria de migrantes entra en fase decisiva,Inmigración/seguridad,Nacional,inmigración,El avance de una regularización extraordinaria de personas migrantes reabrió con fuerza el eje inmigración-identidad y dividió a partidos y bloques.,"PSOE, Sumar, PP, Vox, Junts",PSOE/Sumar (+/mixto); PP (+); Vox (++); Junts (mixto),"Las regularizaciones tienden a movilizar apoyos en electorados pro derechos y a la vez generan una fuerte reacción en electorados restrictivos, un terreno especialmente favorable a Vox y útil para el PP.",4,Media,https://www.reuters.com/site-search/?query=Spain+migrant+regularisation+extraordinary+April+2026 | https://www.inclusion.gob.es/ | https://www.congreso.es/
ESP-086,2026-04-15,2026,"La comisión del Senado responsabiliza a Gobierno, Red Eléctrica y CNMC por el apagón",Institucional/gobernabilidad,Nacional,gestión de crisis,Las conclusiones políticas del Senado sobre el apagón trasladaron la discusión desde lo técnico a la rendición de cuentas institucional.,"PSOE, Sumar, PP, Vox",PSOE/Sumar (-); PP (+); Vox (+),La institucionalización del reproche convierte un fallo de infraestructuras en un pasivo político más duradero para el Gobierno.,4,Alta,https://www.reuters.com/site-search/?query=Spanish+Senate+probe+blames+government+blackout+April+2026 | https://www.senado.es/ | https://www.redeia.com/
ESP-087,2026-04-17,2026,PP y Vox pactan una coalición en Extremadura,Pactos/coaliciones,Autonómico con spillover nacional,competencia intrabloque derecha,El acuerdo en Extremadura fue interpretado como un nuevo ensayo de gobernabilidad conjunta entre PP y Vox con lectura nacional.,"PP, Vox, PSOE",PP (+/mixto); Vox (+); PSOE (-),"Reforzó la idea de viabilidad del bloque de derechas para futuras mayorías, aunque también puede generar costes de moderación para el PP en votantes centristas.",4,Alta,https://www.reuters.com/site-search/?query=PP+Vox+coalition+Extremadura+April+2026+Spain | https://www.assembleaex.es/ | https://www.pp.es/
